product_name,variant_name,variant_price,variant_sku,Variant values Stock,parent,Favourite,Product Description, Short Description,Information,Variant Header 1,Variant Header 2,Variant Header 3,Variant Header 4,discount code,GroupName,Sort,Image,category_name,sub_category_name,child_level_1,child_level_2,child_level_3,child_level_4,child_level_5
B1MFS,,0,,0,,,,BSPT Male X BSPP Female Swivel,,BSPT M,BSPP F/S,,,,0,11970,http://localhost/truflow/public/admin/images/csv_product_img/B1MFS.jpg,Hydraulic , Adaptors , Straight Adaptors,,,,
,1/8 BSPT Male X 1/8 BSPP Female Swivel,6.85,B1MFS-02-02,311,B1MFS,,,,,1/8,1/8,,,,2,2-Feb,,,,,,,,
,1/8 BSPT Male X 1/4 BSPP Female Swivel,9,B1MFS-02-04,437,B1MFS,,,,,1/8,1/4,,,,2,4-Feb,,,,,,,,
,1/4 BSPT Male X 1/4 BSPP Female Swivel,7,B1MFS-04-04,647,B1MFS,,,,,1/4,1/4,,,,2,4-Apr,,,,,,,,
,1/4 BSPT Male  X 3/8 BSPP Female Swivel,19.5,B1MFS-04-06,265,B1MFS,,,,,1/4,3/8,,,,2,6-Apr,,,,,,,,
,1/4 BSPT Male X 1/2 BSPP Female Swivel,9.6,B1MFS-04-08,-1,B1MFS,,,,,1/4,1/2,,,,2,8-Apr,,,,,,,,
,3/8 BSPT Male X 1/4 BSPP Female Swivel,6,B1MFS-06-04,62,B1MFS,,,,,3/8,1/4,,,,2,4-Jun,,,,,,,,
,3/8 BSPT Male X 3/8 BSPP Female Swivel,7.3,B1MFS-06-06,244,B1MFS,,,,,3/8,3/8,,,,2,6-Jun,,,,,,,,
,3/8 BSPT Male X 1/2 BSPP Female Swivel,10.1,B1MFS-06-08,204,B1MFS,,,,,3/8,1/2,,,,2,8-Jun,,,,,,,,
,3/8 BSPT Male X 3/4 BSPP Female Swivel,52.65,B1MFS-06-12,24,B1MFS,,,,,3/8,3/4,,,,2,12-Jun,,,,,,,,
,1/2 BSPT Male X 1/4 BSPP Female Swivel,14.45,B1MFS-08-04,23,B1MFS,,,,,1/2,1/4,,,,2,4-Aug,,,,,,,,
